iter	Logloss
0	0.6609105134
1	0.629997468
2	0.6047307275
3	0.5812333992
4	0.5602253574
5	0.5403271045
6	0.5205159136
7	0.4997582269
8	0.4827634413
9	0.4690262302
10	0.4581459666
11	0.4445109099
12	0.430832766
13	0.4206141972
14	0.4080250386
15	0.3986532379
16	0.3885721276
17	0.3789010255
18	0.3703562842
19	0.3633908215
20	0.3572156047
21	0.3493845824
22	0.3438456698
23	0.3365189087
24	0.3310624416
25	0.3253961617
26	0.3203334859
27	0.3157576708
28	0.3100429178
29	0.3052889541
30	0.3004003727
31	0.2965248414
32	0.2935540506
33	0.2891865687
34	0.2859955779
35	0.2833947265
36	0.279943763
37	0.2768949656
38	0.2742426228
39	0.2716674876
40	0.2692355519
41	0.2667821022
42	0.2645693308
43	0.2617710955
44	0.2598591643
45	0.2583087684
46	0.256736888
47	0.2545982761
48	0.2526891858
49	0.2506497689
50	0.2490678566
51	0.2473679578
52	0.2458915142
53	0.244590112
54	0.2431562228
55	0.24201002
56	0.2406996511
57	0.2399753232
58	0.2386123679
59	0.2367730131
60	0.2357316871
61	0.2350620762
62	0.2340937852
63	0.2332576705
64	0.2321492133
65	0.2312423421
66	0.2306451892
67	0.2300765932
68	0.2291060532
69	0.228302387
70	0.2276784969
71	0.227083519
72	0.2263782192
73	0.2259612272
74	0.2253158823
75	0.2246722095
76	0.2240470618
77	0.2232533535
78	0.222656023
79	0.2221126549
80	0.2215690797
81	0.2209560502
82	0.2205116256
83	0.2198989809
84	0.219288082
85	0.2189579005
86	0.2184919619
87	0.218061594
88	0.2175029264
89	0.2169753017
90	0.2165561938
91	0.2162108607
92	0.2158544451
93	0.2155636663
94	0.2151092394
95	0.214827886
96	0.2143837129
97	0.2140266463
98	0.2136355332
99	0.2131784873
100	0.2129347314
101	0.2125707845
102	0.2122532094
103	0.2116789909
104	0.2112100043
105	0.2106820541
106	0.2102041453
107	0.2098293082
108	0.2095905831
109	0.2091266865
110	0.2088222211
111	0.2084175692
112	0.2078708424
113	0.2070542737
114	0.2065012879
115	0.2062365656
116	0.2059727903
117	0.2056373116
118	0.2053590209
119	0.2049928249
120	0.2046012531
121	0.2043259514
122	0.2040605336
123	0.2038335569
124	0.2035325982
125	0.2031007949
126	0.2028218681
127	0.2024620345
128	0.2021155769
129	0.2018847531
130	0.2015100788
131	0.2012699037
132	0.2010391391
133	0.2006900181
134	0.2003730793
135	0.2000249053
136	0.1997733666
137	0.1995994793
138	0.1994261247
139	0.1991861568
140	0.1989389386
141	0.1986900632
142	0.198490371
143	0.1982411109
144	0.1980059074
145	0.1976852399
146	0.1973685083
147	0.1970982669
148	0.1967169046
149	0.196355547
150	0.1961768805
151	0.1959060029
152	0.1956309675
153	0.1953212789
154	0.1951278456
155	0.1946377446
156	0.1944358773
157	0.1940007005
158	0.193676837
159	0.1934701757
160	0.1931137749
161	0.1928836022
162	0.1926410153
163	0.1922395595
164	0.1919995471
165	0.1917966293
166	0.1916204043
167	0.1914054718
168	0.1911736567
169	0.1909374026
170	0.19075591
171	0.190489057
172	0.1902047442
173	0.1898941975
174	0.1896453221
175	0.1893082602
176	0.189114309
177	0.1887045968
178	0.1885229858
179	0.1882306682
180	0.1880137235
181	0.1877722167
182	0.1874096606
183	0.1871450419
184	0.186818293
185	0.1866417572
186	0.1864332908
187	0.186200795
188	0.1860397806
189	0.1856257331
190	0.1854714659
191	0.1853679207
192	0.1849664797
193	0.1848011447
194	0.1844687881
195	0.1842989402
196	0.1840588243
197	0.1838189895
198	0.1835931225
199	0.1833960641
200	0.18319615
201	0.1830424894
202	0.1827866302
203	0.1826115888
204	0.1823676258
205	0.1821344938
206	0.1819626189
207	0.1817106214
208	0.1815465738
209	0.1814481038
210	0.1813413478
211	0.1810895723
212	0.180909219
213	0.1807113912
214	0.1805111812
215	0.1803782503
216	0.1800736221
217	0.1798169934
218	0.1796622231
219	0.1794433104
220	0.1792806685
221	0.179122347
222	0.1789268718
223	0.178646998
224	0.1784050325
225	0.1782588145
226	0.1781081872
227	0.1778551393
228	0.1776057756
229	0.1774041599
230	0.1773352531
231	0.1770954183
232	0.1769993157
233	0.1767951994
234	0.1764990347
235	0.1763536749
236	0.1762810838
237	0.1760817468
238	0.1759801251
239	0.175801651
240	0.175576805
241	0.1753883876
242	0.1751238577
243	0.174835254
244	0.1746498847
245	0.1744843278
246	0.1743205021
247	0.1740792617
248	0.1737837629
249	0.1736266251
250	0.1734076385
251	0.1732299042
252	0.1730055168
253	0.1728464703
254	0.1726438485
255	0.1724654779
